"the_geom","NEIGHBORHOOD NAME","VOLTAGE"
"MULTIPOLYGON (((-113.38763361949057 53.5761348261498, -113.38362778603656 53.57460806247726, -113.384054874502 53.57359969033416, -113.384370602104 53.57290764891136, -113.3846562219543 53.57228236881793, -113.3852398908054 53.57172595132662, -113.38714658267777 53.5707061225834, -113.38852222926714 53.57045359907493, -113.3895548108397 53.570389233657856, -113.39136743841155 53.57038384468927, -113.39371166098624 53.570376834570865, -113.39370624959511 53.571915127576275, -113.39369790571753 53.572766792218815, -113.3936940190968 53.57354261672526, -113.39369066891517 53.57432134543327, -113.39368735456308 53.57509164354828, -113.3940814783264 53.57509174427488, -113.39407538253664 53.57662865234426, -113.39407396032226 53.577164015227766, -113.39402871030627 53.57719140902547, -113.39402858038403 53.577314528329914, -113.39402685989222 53.577639468852674, -113.39375492946782 53.577910031987955, -113.38885796374302 53.57660141757642, -113.38763361949057 53.5761348261498)))","Abbottsfield","15 kV"
"MULTIPOLYGON (((-113.56024507936962 53.63160365457773, -113.55979640746396 53.631743725059366, -113.55351441059753 53.63370459790913, -113.55350756944988 53.63370673618776, -113.55248207876026 53.63413849541467, -113.55153803121593 53.634535948259256, -113.55004872506954 53.635085223783925, -113.54742572896609 53.6360525381421, -113.54277501144546 53.63604903256412, -113.54263565348458 53.636048924376574, -113.5414200017215 53.63604797701771, -113.54134540966392 53.636047918608874, -113.54117909409564 53.63604816462092, -113.54117596343433 53.62871174153649, -113.55351128749155 53.628717107486416, -113.55942879661924 53.628719230416706, -113.56335837555193 53.628730341313364, -113.56326455779453 53.62882097997765, -113.56319902606513 53.62888137744233, -113.5630210133342 53.629045439421716, -113.56226844984674 53.62973901654462, -113.56024507936962 53.63160365457773)))","Albany","15 kV"
"MULTIPOLYGON (((-113.49225733739199 53.576616670639865, -113.49041748251274 53.57662685157618, -113.48887464067948 53.57662499584049, -113.48733268742862 53.57662569759568, -113.48577733270987 53.57662303301303, -113.48423435434066 53.576621479880544, -113.48268841184394 53.57662205425709, -113.48122419884771 53.57662273663359, -113.47961708791946 53.576623781557046, -113.47796982561574 53.57672151821279, -113.47796481149255 53.575136358688816, -113.47795810885148 53.57354597771494, -113.47796032804459 53.57195514461606, -113.47795787832004 53.57039022245675, -113.47822790562516 53.57039015324254, -113.47821656757257 53.56889626833952, -113.47820156457327 53.56736095517525, -113.47818371544523 53.56581926442556, -113.47817029113041 53.56429120005691, -113.47815677893023 53.56275033526857, -113.47814204747264 53.56103241825642, -113.47923330098297 53.56102713134715, -113.47963671658975 53.561090931644, -113.48119966290243 53.560815258523206, -113.48264148995813 53.560560925697054, -113.48412553286984 53.560433045798504, -113.48563144858038 53.5603047482291, -113.48638770935194 53.56024032256516, -113.48700431522573 53.56004609361276, -113.4886064951431 53.55949771337896, -113.48950784602533 53.559191509125, -113.4901187852579 53.55914074891269, -113.49184845652299 53.55902366243884, -113.4917328512954 53.55946907132206, -113.4917518242515 53.561034820088395, -113.4917619190792 53.56270429547008, -113.49178150595102 53.56424466149047, -113.49179781062054 53.56577648007924, -113.49179879124682 53.56731587664473, -113.49182402325125 53.56884944239671, -113.49181517642502 53.56990545263552, -113.49202858103199 53.57037740276865, -113.49228046046899 53.57090606898085, -113.49226543655405 53.571952965142465, -113.49226808905505 53.57314377543178, -113.49226895921929 53.5735413336122, -113.49225698233184 53.57513007169982, -113.49225541051868 53.57532301436275, -113.49225733739199 53.576616670639865)))","Alberta Avenue","15 kV"
"MULTIPOLYGON (((-113.5904103654549 53.566537978114404, -113.59039450140936 53.565593351182194, -113.59039935594825 53.56449391689305, -113.59040565643292 53.56306680851676, -113.59714666474773 53.563048283150714, -113.60277606435042 53.563031644095446, -113.60278721141917 53.56359483282567, -113.60272092860254 53.56407294068366, -113.60257618963607 53.564653791882606, -113.60252818502961 53.56654337360347, -113.6025644125437 53.56810534319958, -113.60256171891466 53.568623855050646, -113.60275884924141 53.569585136683926, -113.60282216065919 53.57043812716324, -113.59715634204704 53.570420628281504, -113.59041103003472 53.57041887795662, -113.5904103654549 53.566537978114404)))","Alberta Park Industrial","15 kV"
"MULTIPOLYGON (((-113.65208909985091 53.5195023086468, -113.65208942041124 53.519701704285154, -113.65208977022574 53.519926240115005, -113.65209000729054 53.52007895685766, -113.65209018886338 53.52019574833467, -113.65209039101717 53.52032511936025, -113.65209058287606 53.52044820105702, -113.65209078965496 53.52058841818311, -113.65209103927081 53.520741258952, -113.65209130955678 53.5209153183992, -113.65209161924719 53.52111143856481, -113.65209209504317 53.52127789824791, -113.64911109342985 53.52135060395307, -113.6469984884731 53.52139511779747, -113.64409438321002 53.52146726946703, -113.63975813853811 53.52155155074653, -113.63713234483913 53.52160251130312, -113.63358989749516 53.5215276452254, -113.63046868897008 53.52128898038753, -113.63059717959871 53.52012340103484, -113.6306375704129 53.5191377921971, -113.63058227575198 53.518359110177826, -113.63042877683237 53.51706112801499, -113.63005406980739 53.514890873296615, -113.62990998792104 53.51217442859063, -113.65207270625682 53.512195385483594, -113.65207930745689 53.51265538837672, -113.65207926138751 53.51269764043378, -113.65207897464015 53.51295756694913, -113.65207928050559 53.513157841594825, -113.65207968497714 53.513420436248694, -113.65208002217481 53.513644861750656, -113.65208013149854 53.51371213128393, -113.65208048351077 53.51393677248208, -113.65208082744452 53.51416589676457, -113.6520811865112 53.51439501389345, -113.6520816134831 53.51466903246145, -113.65208192579001 53.51487091196811, -113.6520821970855 53.515048349427296, -113.65208244091052 53.51521460012959, -113.6520826571165 53.51535127692221, -113.65208274156397 53.515405202153914, -113.65208298404696 53.5155695918418, -113.65208318207704 53.51569210663818, -113.6520833662388 53.515814289808304, -113.65208362006415 53.51598115965367, -113.65208393865292 53.5161877927275, -113.65208423004313 53.51637197869084, -113.65208471826745 53.51668986788723, -113.65208489392168 53.51681124856254, -113.65208493881539 53.51684257837455, -113.65208512527727 53.51695417332679, -113.65208530877499 53.517065761978124, -113.6520854772691 53.517177341597716, -113.65208564568916 53.517288930201, -113.65208582925935 53.51740050986028, -113.6520859992599 53.51751208947799, -113.65208618275574 53.51762367811887, -113.65208635125514 53.517735256829425, -113.65208651967313 53.517846845422255, -113.65208670324142 53.51795842507109, -113.6520868716586 53.51807001365974, -113.65208704165669 53.5181815932649, -113.65208729589433 53.5183395767942, -113.65208737363774 53.518394319704946, -113.6520876104451 53.51853805049086, -113.65208783073297 53.51868177313784, -113.6520880389361 53.518825498442006, -113.6520884227198 53.519062268835164, -113.65208880188486 53.519304756094904, -113.65208909985091 53.5195023086468)))","Aldergrove","15 kV"
"MULTIPOLYGON (((-113.51693024033615 53.406512370604425, -113.51690745335705 53.40642553096021, -113.51659039306105 53.40645523866233, -113.51637788942627 53.406588102930755, -113.51638078172199 53.40534973589716, -113.51621842517922 53.405361819824506, -113.51493850046307 53.40536026901006, -113.51460447645655 53.405359867913994, -113.51452292947796 53.40535976916776, -113.51284500668248 53.40535773826846, -113.51251799475499 53.405357339272655, -113.51251790550906 53.40534778207199, -113.51251588666743 53.40513355960886, -113.51251112310327 53.404632335053506, -113.51251048236175 53.404565127246435, -113.51251000035575 53.404514683867255, -113.5125054079789 53.40403308854539, -113.5125046780873 53.40395657963608, -113.51250114734374 53.403586409576796, -113.51249703802146 53.40315386021843, -113.5124947144155 53.40290935198672, -113.51249354143167 53.4027859718486, -113.51249320871602 53.40275101590811, -113.51249257177724 53.40268400489333, -113.51246897983619 53.40020464793187, -113.51246700242034 53.39999695843377, -113.51316393227413 53.39999466260563, -113.51388725246431 53.39999227604308, -113.51475855486312 53.399989394706985, -113.51474691725163 53.398649124575456, -113.51576370882412 53.398646908873786, -113.5158147053918 53.39864680923651, -113.515975156358 53.398646446981644, -113.5160742614035 53.39864622951, -113.51615669481362 53.39864604954329, -113.51615542058299 53.39851250554624, -113.51615624561667 53.39851148086559, -113.51615377986036 53.39834062304504, -113.51615308896942 53.39826831980643, -113.51614749934903 53.39807528929872, -113.51614548138163 53.397878214180764, -113.5161438843886 53.39772143498158, -113.51614056061295 53.397397848319166, -113.51613105000729 53.39647131848945, -113.51620988048597 53.396456904991496, -113.51628871091172 53.396442491441334, -113.51629162950185 53.395992182901985, -113.5165401375307 53.39599275799613, -113.516978731365 53.39599377186256, -113.5280989519427 53.39593292697954, -113.52833252772756 53.39595591731629, -113.52839619380089 53.395962184162286, -113.54042467169735 53.39592491255421, -113.54071205322789 53.39592400717514, -113.54071446145747 53.39672221787951, -113.5408081610508 53.399278612004764, -113.54080441741047 53.40128579318631, -113.54079676314866 53.40135499708844, -113.54075229914577 53.401621449556735, -113.5407155920546 53.40175384235185, -113.54066320676868 53.40190070102962, -113.54062052848545 53.40200025589144, -113.54057618789973 53.40209148760738, -113.54049765139816 53.40223221854288, -113.54040580873917 53.40237361890708, -113.54030418644861 53.402510057110646, -113.5401813901402 53.40265487330912, -113.54006012561454 53.40278180823712, -113.53994691742258 53.402889059242284, -113.53984015704305 53.402982042426125, -113.5397442288903 53.40305982845758, -113.53952205861773 53.403222494828135, -113.53720543758509 53.404692124001166, -113.53638422299825 53.404250995056884, -113.53609977742414 53.40411810681676, -113.53554666504937 53.40385969723832, -113.53469921210916 53.40355999537118, -113.53401157261419 53.40338381913598, -113.53308673846298 53.40322644185206, -113.53245830555517 53.40316654949009, -113.53190970220048 53.40314366733483, -113.53130745918732 53.40314135454426, -113.53045306649106 53.403142580163795, -113.52927508882297 53.40314425980504, -113.52860373160566 53.40314521136805, -113.52756452423539 53.40314954978826, -113.52643584817366 53.403193034961994, -113.52565365935956 53.40326097816398, -113.52501762913363 53.40335053260928, -113.52419832741136 53.403521925173244, -113.52340055168852 53.40376454725447, -113.52275605368001 53.40402596926104, -113.52203814341765 53.404406088476115, -113.52160116513805 53.40466084824842, -113.5205769985091 53.4052599618127, -113.52008168042495 53.4055489052617, -113.51807235820752 53.4064270628805, -113.51792529801163 53.40651841080691, -113.51786863487885 53.40655360748481, -113.51766971724373 53.40667716526453, -113.51693024033615 53.406512370604425)))","Allard","25 kV"
"MULTIPOLYGON (((-113.50259772798971 53.5063735946272, -113.50053503494416 53.506372995766604, -113.4976632094534 53.50636848783056, -113.49766225891433 53.50543738354917, -113.49765566672984 53.504364111082324, -113.49765436259806 53.50343218367606, -113.49765309697379 53.5025282281307, -113.49765648913252 53.501616693398546, -113.49765652823257 53.50074182559332, -113.49765658226039 53.4998683622466, -113.4976383396446 53.49797727257391, -113.49932490583001 53.49798760784123, -113.5008022142935 53.498036180877, -113.50225698629538 53.4981116701311, -113.50255629751122 53.498127910233265, -113.5028947545688 53.49813836360086, -113.50441318668027 53.4981744815948, -113.5093354187812 53.49818426635547, -113.51189684993585 53.49821982127531, -113.51198517336842 53.49916063092457, -113.51198017978246 53.50010627044554, -113.51198590144513 53.501054821914735, -113.51198684405657 53.50152591588271, -113.51198775915552 53.501982737131165, -113.51198917070344 53.50295159628822, -113.51199236570137 53.503901125457546, -113.51200456379554 53.50483634677581, -113.51202366756081 53.5056246902062, -113.51202414856837 53.506573942781834, -113.50934310855243 53.50657430235736, -113.50631071557892 53.50657470774768, -113.50441659057589 53.506576727508055, -113.50441619006766 53.5063385259809, -113.50273890199752 53.50634715544115, -113.50259772798971 53.5063735946272)))","Allendale","15 kV"
"MULTIPOLYGON (((-113.37648878753762 53.42487742082721, -113.39328843398081 53.42486070162269, -113.39354533630643 53.42486816726159, -113.39355835167957 53.4321440923918, -113.39340733998459 53.432144113714735, -113.39340627763455 53.43214411461029, -113.39200172344141 53.432144418849255, -113.3860779197284 53.4321455018045, -113.38151214906497 53.43214606131372, -113.38128262051639 53.4321460848899, -113.37857750213998 53.43214603953453, -113.36914484008027 53.43214540120239, -113.36899351779817 53.43214575396181, -113.36891785740913 53.43214593027359, -113.3688421970198 53.43214610653746, -113.36857073038058 53.432146611969515, -113.3682349219983 53.432268541791025, -113.36752914594007 53.433060447272766, -113.36751312501845 53.43327873872384, -113.36749686443099 53.433497451249174, -113.36740351994015 53.434768369636146, -113.36733432869569 53.43570969824279, -113.36687054847721 53.435778674384736, -113.36446882854874 53.43613583810276, -113.36402443337992 53.43620191752219, -113.36308466541216 53.436341641002585, -113.36302676895181 53.43635024843496, -113.36248996229108 53.43732978749654, -113.36225081468224 53.43776612424079, -113.36206718957618 53.43810110836591, -113.36132494633496 53.438446606907426, -113.36038787423932 53.438882738951044, -113.35924835894137 53.43941304817948, -113.35764140342134 53.43974622638514, -113.35744715219798 53.43978649769038, -113.35672361863111 53.43993647855853, -113.35594041446838 53.440098854266424, -113.35537928946766 53.4402151684266, -113.34982684945783 53.44115909019061, -113.34776964920476 53.4415087182701, -113.34776903945802 53.441508731116265, -113.34483272732234 53.44156907708967, -113.34474099027122 53.44157096068375, -113.34460360980685 53.44157377819158, -113.34460442340594 53.44102038251141, -113.34460585855105 53.44004497949737, -113.3446058697935 53.440037207363694, -113.34460677362239 53.43942267597318, -113.3446067784157 53.43941962607073, -113.34461009362786 53.43764610054318, -113.34461352838353 53.435807334132946, -113.34461401201456 53.43554840360521, -113.34461419932313 53.435448301484755, -113.34461569785644 53.43464551737282, -113.34461928932787 53.43272300447882, -113.34461929235654 53.43272085139072, -113.34461990195929 53.43239444369127, -113.34461997352578 53.4323744353058, -113.34462044094879 53.43224242540343, -113.34462026862153 53.432199928493525, -113.34462595244399 53.42925382489446, -113.34463419941025 53.424977210686414, -113.34463437557483 53.42489053020469, -113.34971450021288 53.424893223084204, -113.3675721537977 53.42490097617735, -113.36903714259816 53.42488408026309, -113.37648878753762 53.42487742082721)))","Decoteau North","25 kV"
"MULTIPOLYGON (((-113.44305435700798 53.512257579226805, -113.43986004950949 53.51225740648632, -113.43916315638565 53.51225222261842, -113.4367298751846 53.5122528730602, -113.43610200563138 53.51293521799828, -113.43556291923308 53.51358982360104, -113.43527261770853 53.513688106552436, -113.4344462041611 53.51472219492844, -113.43321341199045 53.51545998479441, -113.43158681190907 53.51631991261713, -113.4250851878087 53.51482800116573, -113.42580993024808 53.51446518876027, -113.42690526087499 53.51391820439295, -113.42955399959982 53.51259537515276, -113.42969615057386 53.51252437851279, -113.42991907529466 53.51241303655782, -113.43028441956159 53.51223055884471, -113.43181368073535 53.51146606830652, -113.43200064488985 53.51137260640838, -113.43217289139969 53.511286501316974, -113.4331823520446 53.510781820004276, -113.43329569042479 53.51072513839808, -113.43357835322001 53.510584088907216, -113.43509403071846 53.50982763887912, -113.43515070980055 53.509799328232916, -113.43662815020608 53.509060518187134, -113.43674454307539 53.50900265525473, -113.4368609356279 53.508944792207615, -113.43732479047138 53.508712068268174, -113.43822799607618 53.50826070056636, -113.43858529696743 53.50808213875469, -113.44219233028477 53.50627937012673, -113.442337245678 53.50620744220782, -113.44250890922174 53.50612223879626, -113.44271302660545 53.50601979655132, -113.44275748738781 53.50792811429347, -113.44297343122781 53.508273336297904, -113.44301883894158 53.509461526320074, -113.44302518884776 53.50981193950245, -113.44305435700798 53.512257579226805)))","Girard Industrial","15 kV"
"MULTIPOLYGON (((-113.56982165170271 53.424905173149554, -113.57391400277282 53.42490355966743, -113.5742251035951 53.42490343164207, -113.57467048546295 53.42490324636884, -113.58379969402206 53.42489908286736, -113.58998414591314 53.42489586647374, -113.59683700207863 53.424884352589174, -113.60120338719854 53.42487681227193, -113.60229973549585 53.424565880510755, -113.60265092016967 53.42446627949552, -113.60352361309178 53.424165753072245, -113.60450282168487 53.42366129980674, -113.60525485316019 53.423242511345855, -113.60705022043702 53.42230207266855, -113.6072584797039 53.42219096270256, -113.60796461264556 53.42185840360065, -113.6090106890523 53.421550797479455, -113.60993506094009 53.421377455801355, -113.61096607816626 53.42123420035072, -113.6146409560591 53.42126128750344, -113.6146383078815 53.42485260909639, -113.61466582167135 53.428622602035084, -113.61472211657124 53.43337175359472, -113.61454581091866 53.433809078247215, -113.61436605962682 53.43380911634443, -113.61368116783214 53.43582233206362, -113.61182811556158 53.437529978324314, -113.6112622342503 53.43773958094085, -113.60951952847857 53.43838504925733, -113.60916538350372 53.43851620919458, -113.60667460410487 53.4394386386755, -113.60644615043756 53.4395232383235, -113.60623231859036 53.43959868124075, -113.60601333087114 53.43966865309069, -113.60578957979504 53.43973302843588, -113.60556166935937 53.43979159806996, -113.60532981781496 53.43984436718323, -113.60509443849561 53.43989124006898, -113.60485595365506 53.4399321336334, -113.60461478696638 53.439966974675265, -113.60437137103753 53.43999570080946, -113.60412613987748 53.44001826134084, -113.60387953192188 53.44003461547713, -113.60363198550054 53.44004473411117, -113.6033839448563 53.440048599841035, -113.60313585113106 53.44004620514286, -113.6028881498813 53.440037553294445, -113.60264128050889 53.44002266193462, -113.60239568686173 53.440001555909475, -113.60217777686643 53.4399774826928, -113.60196154274031 53.439948517221914, -113.6017472942025 53.43991470007725, -113.60153533637006 53.439876080812105, -113.6013259683031 53.43983271255607, -113.60111949197504 53.43978465833509, -113.60089668947532 53.43972671030183, -113.60067809550455 53.43966330426505, -113.60046408686179 53.43959454844273, -113.60025503121592 53.43952056090922, -113.60005128411186 53.43944146778778, -113.5998492068839 53.43935563492083, -113.59965338413558 53.439264781450895, -113.59841305855264 53.43866301281435, -113.5971751610311 53.43751174990359, -113.59711256744328 53.437453535122735, -113.59565951310103 53.43610207225681, -113.59525786246091 53.435854929563334, -113.590395526702 53.43286270901755, -113.59019453934887 53.43276252868833, -113.58910812564812 53.432223410275206, -113.58742622122755 53.43139025686417, -113.58666392340625 53.43064463613926, -113.58663728640693 53.43044286965114, -113.5866238740968 53.430341274374584, -113.58661232176613 53.43025377311593, -113.58660820236666 53.430222569736976, -113.58660483702828 53.430197080563126, -113.58660268411323 53.43018077403677, -113.58648207560071 53.42926525209939, -113.58635227160562 53.42910650984038, -113.58583908351181 53.4284794437872, -113.58573831299404 53.42845648518968, -113.5854042040661 53.42838036262082, -113.5837464858597 53.42800265418582, -113.58358831214848 53.42797201723705, -113.58342728892916 53.42794723719975, -113.5832640230764 53.42792840694, -113.58309913070721 53.42791559689389, -113.58293323116403 53.42790885504676, -113.58276695301664 53.42790820875135, -113.5826009205755 53.42791365928917, -113.582435762885 53.42792518549636, -113.58227209867106 53.42794274460966, -113.58211054990035 53.42796627051642, -113.58195172222314 53.42799567368621, -113.58179621547069 53.42803084480166, -113.58040127068202 53.42839571589026, -113.58022362912413 53.4284392496937, -113.58004249785142 53.428477310079, -113.5798583473491 53.428509796243, -113.57967165998481 53.42853662360207, -113.57948292249378 53.42855772286723, -113.57929262749143 53.428573039150926, -113.57910127196772 53.428582531962014, -113.57890935425952 53.428586176992205, -113.57871737407615 53.42858396342049, -113.57850752015429 53.4285748291378, -113.57829885198743 53.42855869666176, -113.57802541755949 53.428532836675174, -113.57775198347571 53.4285069751646, -113.57645136112035 53.42838372172364, -113.57429329325177 53.42817917950925, -113.56923267880916 53.42776960670998, -113.56757236100994 53.42773765548703, -113.56683176315427 53.42775921940451, -113.56630898421987 53.427774438373426, -113.56643432493526 53.42762654809167, -113.56656951184792 53.42748178464355, -113.56671432884693 53.427340383548, -113.5668685418695 53.42720257127142, -113.56801808376504 53.427196265273146, -113.56856237677714 53.42700576693171, -113.56883550876002 53.42681287049375, -113.5691198893986 53.42639973537987, -113.56940201301227 53.42623308090389, -113.56991294517876 53.42609993071756, -113.57007637629351 53.4260720320471, -113.57013543941856 53.42586150119606, -113.57037652455384 53.425559853089304, -113.57051198126098 53.42539036610212, -113.57033791938004 53.425292332810585, -113.57019361167343 53.42521105679119, -113.56982175377811 53.42500162019277, -113.56982165170271 53.424905173149554)))","Ambleside","25 kV"
